age_group,n_subjects,age_range,mean_age,male_count,female_count
20-24.9,16,20-24,22.4375,8,8
40-44.9,17,40-44,42.1764705882353,9,8
45-49.9,10,45-47,45.8,4,6
35-39.9,18,35-39,37.44444444444444,12,6
50-54.9,16,50-53,51.25,8,8
25-29.9,18,25-29,26.11111111111111,8,10
30-34.9,18,30-34,32.333333333333336,10,8
65-69.9,16,65-69,67.375,8,8
60-64.9,28,60-64,62.07142857142857,14,14
55-59.9,16,55-59,57.375,7,9
16-17.9,26,16-17,16.53846153846154,12,14
12-12.9,14,12-12,12.0,6,8
11-11.9,17,11-11,11.0,9,8
15-15.9,16,15-15,15.0,6,10
18-19.9,12,18-18,18.0,10,2
14-14.9,12,14-14,14.0,6,6
9-9.9,10,9-9,9.0,4,6
7-7.9,20,7-7,7.0,8,12
13-13.9,17,13-13,13.0,9,8
70-74.9,11,70-74,71.18181818181819,5,6
75-79.9,14,75-79,77.14285714285714,6,8
5-5.9,11,5-5,5.0,7,4
6-6.9,18,6-6,6.0,8,10
8-8.9,18,8-8,8.0,10,8
10-10.9,16,10-10,10.0,10,6
